date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:16	18885/18885	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2005:37:13%20GMT	https://htmldemo.net/eme/eme/images/blog/blog-img/2.jpg	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/blog/blog-img/2.jpg	(from https://htmldemo.net/eme/eme/index.html)
12:37:16	5702/5702	---MC-	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202023%2005:37:14%20GMT	https://htmldemo.net/eme/eme/images/brand/1.png	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/brand/1.png	(from https://htmldemo.net/eme/eme/index.html)
12:37:17	7917/7917	---MC-	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202023%2005:37:15%20GMT	https://htmldemo.net/eme/eme/images/brand/2.png	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/brand/2.png	(from https://htmldemo.net/eme/eme/index.html)
12:37:17	7961/7961	---MC-	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202023%2005:37:15%20GMT	https://htmldemo.net/eme/eme/images/brand/3.png	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/brand/3.png	(from https://htmldemo.net/eme/eme/index.html)
12:37:17	5608/5608	---MC-	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202023%2005:37:15%20GMT	https://htmldemo.net/eme/eme/images/brand/4.png	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/brand/4.png	(from https://htmldemo.net/eme/eme/index.html)
12:37:18	6804/6804	---MC-	200	added ('OK')	image/png	date:Wed,%2015%20Nov%202023%2005:37:16%20GMT	https://htmldemo.net/eme/eme/images/brand/5.png	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/brand/5.png	(from https://htmldemo.net/eme/eme/index.html)
12:37:18	22158/22158	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2005:37:16%20GMT	https://htmldemo.net/eme/eme/images/banner/bn-3/1.jpg	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/banner/bn-3/1.jpg	(from https://htmldemo.net/eme/eme/index.html)
12:37:19	19674/19674	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2005:37:17%20GMT	https://htmldemo.net/eme/eme/images/banner/bn-3/2.jpg	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/banner/bn-3/2.jpg	(from https://htmldemo.net/eme/eme/index.html)
12:37:19	14859/14859	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2005:37:17%20GMT	https://htmldemo.net/eme/eme/images/banner/bn-3/3.jpg	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/banner/bn-3/3.jpg	(from https://htmldemo.net/eme/eme/index.html)
12:37:20	11373/11373	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Nov%202023%2005:37:18%20GMT	https://htmldemo.net/eme/eme/images/banner/bn-3/4.jpg	C:/Kebutuhan%20Jahit/tailor/htmldemo.net/eme/eme/images/banner/bn-3/4.jpg	(from https://htmldemo.net/eme/eme/index.html)
